Forage (année 2011) ;CE (μs/cm) ;T (°C);Ca++ (mg/l);Mg++ (mg/l);K+ (mg/l);NA+ (mg/l);HCO3- (mg/l);Cl- (mg/l)
8;0.395938193315157;0.642857142857143;0.626879111765762;0.432505501414649;0.161287128712871;0.107833641404806;0.531524205748865;0.3078
9;0.0444779620237095;0.626373626373626;0.142754318321069;0.133664166704091;0.133663366336634;0.0232902033271719;0.25750756429652;0.0653490566037736
10;0.47182548558509;0.632967032967033;0.484002252767996;0.440373647101091;0.218316831683168;0.385619223659889;0.344307866868381;0.285721698113208
11;0.587723901123813;0.692307692307692;0.357835486047073;0.289652849508241;0.110940594059406;0.73264325323475;0.378347201210287;0.380051886792453
12;0.157998778858535;0.685714285714286;0.302725601718045;0.237216508734899;0.128762376237624;0.0353345656192236;0.4464258698941;0.038861320754717
13;0.490737460630278;0.682417582417582;0.720645009561886;0.525562491579467;0.25529702970297;0.252199630314233;0.582583207261725;0.620892452830189
14;0.390889196525187;0.63956043956044;0.430424126897679;0.348623523599946;0.175990099009901;0.249205175600739;0.58428517397882;0.247590566037736
15;0.184892303786143;0.679120879120879;0.291251338354613;0.414977320698792;0.142574257425743;0.0432532347504621;0.584257272885097;0.0566037735849057
16;0.399588922675146;0.646153846153846;0.550079527661392;0.435132707594198;0.193366336633663;0.197268022181146;0.582583207261725;0.168515094339623
17;0.371356978339852;0.656043956043956;0.485784662610859;0.378775766829838;0.151039603960396;0.156543438077634;0.582583207261725;0.119142452830189
1;0.37137874125705;0.626373626373626;0.436127838394841;0.370786365473571;0.0106930693069307;0.173711645101664;0.674098794672751;0.102198113207547
2;0.37137874125705;0.632967032967033;0.475229454322653;0.398136255445278;0.0374257425742574;0.218861367837338;0.606578147863396;0.0537735849056604
3;0.276699169986519;0.652747252747253;0.9;0.409453451295639;0.77970297029703;0.0532347504621072;0.306864599092284;0.405622641509434
4;0.280387984451605;0.685714285714286;0.47238873863559;0.368630709121121;0;0.0586913123844732;0.877414064631333;0.0298584905660377
5;0.307232542815517;0.682417582417582;0.349569560400795;0.38870525890331;0.0124752475247525;0.130391866913124;0.694689801840232;0.0777452830188679
6;0.294441388232307;0.63956043956044;0.492886451828517;0.356505142138591;0.0320792079207921;0.0693715341959335;0.694913010590015;0.0533207547169811
7;0.181546255266928;0.679120879120879;0.350054153076823;0.243777787757668;0.118514851485149;0.0703364140480592;0.412386535552194;0.074988679245283
8;0.283755795888018;0.646153846153846;0.457210404817458;0.377455427313962;0.136826732673267;0.0973530499075786;0.514504538577912;0.219894339622641
9;0.274517437537405;0.702197802197802;0.257329851032622;0.292913279741321;0.833168316831683;0.227911275415896;0.499186838124054;0.291735849056604
10;0.517527611701195;0.63956043956044;0.454531220022404;0.444307719944312;0.22009900990099;0.476118299445471;0.344307866868381;0.323855660377358
11;0.587722812977953;0.679120879120879;0.34112539377023;0.289652849508241;0.110940594059406;0.39992606284658;0.378347201210287;0.380051886792453
12;0.176252425658479;0.646153846153846;0.374161246201549;0.129743566713073;0.115841584158416;0.0585249537892791;0.451531770045386;0.0589330188679245
13;0.426716398962634;0.692307692307692;0.52865161933172;0.456096465621772;0.22990099009901;0.233900184842884;0.607261724659607;0.444274528301887
14;0.471607856413109;0.652747252747253;0.609021593152576;0.296200655678807;0.162623762376238;0.242883548983364;0.585987140695915;0.247590566037736
15;0.178434158107593;0.698901098901099;0.280111276836718;0.320667355279113;0.187128712871287;0.0365988909426987;0.481023226110464;0.0481132075471698
16;0.434812204160344;0.685714285714286;0.602766448610277;0.340768850765707;0.172871287128713;0.234232902033272;0.606410741301059;0.163296226415094
17;0.368663817336582;0.682417582417582;0.505430161097667;0.343382584093052;0.147163366336634;0.176306839186691;0.589391074130106;0.131184905660377
1;0.37137874125705;0.63956043956044;0.491772445676728;0.563178694929717;0.0534653465346535;0.11645101663586;0.626108913469408;0.118867924528302
2;0.37137874125705;0.679120879120879;0.614313122373576;0.536232990524094;0.0534653465346535;0.0465804066543438;0.787935257062077;0.0537735849056604
3;0.234125463217647;0.646153846153846;0.395578014469702;0.347208874118651;0.0227227722772277;0.054;0.650661875945537;0.0300283018867924
4;0.37137874125705;0.636263736263736;0.614313122373576;0.536232990524094;0.0534653465346535;0.0465804066543438;0.787935257062077;0.0537735849056604
5;0.44812566875631;0.63956043956044;0.469492322640937;0.0512103112228859;0.0534653465346535;0.459149722735675;0.787935257062077;0.0877358490566038
6;0.304833181194421;0.679120879120879;0.508705339183929;0.374558764090358;0.13009900990099;0.0761922365988909;0.735760211800303;0.0579339622641509
