T,Coxs I,Qki,Qki-1,Qki+1
175,143.589,155.657,119.548,158.877
176,139.022,158.877,155.657,138.768
177,130.953,138.768,158.877,126.736
178,123.057,126.736,138.768,121.626
179,130.213,121.626,126.736,131.018
180,147.693,131.018,121.626,167.042
181,161.813,167.042,131.018,280.745
182,207.893,280.745,167.042,451.437
183,203.47,451.437,280.745,373.36
184,197.244,373.36,451.437,342.609
185,194.335,342.609,373.36,314.635
186,216.097,314.635,342.609,294.078
187,249.905,294.078,314.635,266.788
188,253.269,266.788,294.078,278.867
189,247.791,278.867,266.788,248.427
190,241.379,248.427,278.867,227.983
191,236.154,227.983,248.427,212.039
192,223.698,212.039,227.983,196.539
193,216.072,196.539,212.039,183.423
194,206.625,183.423,196.539,172.681
195,197.651,172.681,183.423,163.696
196,192.379,163.696,172.681,155.71
197,185.333,155.71,163.696,150.629
198,180.802,150.629,155.71,153.69
199,177.609,153.69,150.629,146.97
200,173.634,146.97,153.69,149.197
201,186.389,149.197,146.97,204.641
202,190.275,204.641,149.197,177.12
203,188.17,177.12,204.641,166.35
204,167.678,166.35,177.12,150.993
205,153.086,150.993,166.35,140.646
206,141.867,140.646,150.993,144.904
207,174.314,144.904,140.646,275.17
208,225.743,275.17,144.904,268.796
209,249.064,268.796,275.17,258.688
210,217.376,258.688,268.796,243.944
211,192.696,243.944,258.688,221.83
212,177.593,221.83,243.944,207.863
213,168.308,207.863,221.83,198.868
214,168.134,198.868,207.863,197.693
215,164.01,197.693,198.868,182.567
216,157.72,182.567,197.693,169.167
217,155.479,169.167,182.567,160.518
218,155.745,160.518,169.167,164.401
219,157.225,164.401,160.518,161.092
220,152.605,161.092,164.401,154.802
221,160.354,154.802,161.092,225.882
222,186.075,225.882,154.802,225.843
223,189.174,225.843,225.882,184.032
224,189.732,184.032,225.843,169.358
225,191.862,169.358,184.032,167.784
226,207.388,167.784,169.358,214.113
227,211.382,214.113,167.784,212.729
228,221.33,212.729,214.113,215.521
229,233.103,215.521,212.729,236.005
230,237.496,236.005,215.521,208.269
231,219.731,208.269,236.005,197.348
232,212.961,197.348,208.269,187.392
233,202.108,187.392,197.348,179.433
234,191.929,179.433,187.392,171.513
235,185.769,171.513,179.433,178.309
236,181.794,178.309,171.513,203.046
237,194.992,203.046,178.309,242.78
238,189.403,242.78,203.046,212.736
239,173.539,212.736,242.78,199.452
240,158.726,199.452,212.736,198.412
241,151.802,198.412,199.452,284.568
242,148.713,284.568,198.412,242.736
243,145.461,242.736,284.568,241.731
244,149.487,241.731,242.736,236.739
245,155.865,236.739,241.731,299.187
246,178.684,299.187,236.739,299.332
247,196.908,299.332,299.187,251.249
248,272.448,251.249,299.332,231.067
249,240.846,231.067,251.249,217.15
250,211.416,217.15,231.067,208.704
251,198.8,208.704,217.15,279.83
252,181.547,279.83,208.704,292.466
253,169.247,292.466,279.83,335.664
254,172.275,335.664,292.466,309.757
255,156.352,309.757,335.664,288.416
256,140.429,288.416,309.757,248.811
257,133.438,248.811,288.416,224.258
258,132.755,224.258,248.811,205.6
259,132.519,205.6,224.258,190.253
260,136.13,190.253,205.6,175.519
261,126.167,175.519,190.253,163.778
262,118.943,163.778,175.519,153.801
263,117.222,153.801,163.778,146.001
264,116.694,146.001,153.801,136.664
265,114.777,136.664,146.001,128.675
266,105.56,128.675,136.664,121.843
267,102.495,121.843,128.675,120.194
268,101.319,120.194,121.843,118.361
269,104.804,118.361,120.194,125.572
270,116.601,125.572,118.361,139.433
271,128.561,139.433,125.572,165.488
272,142.618,165.488,139.433,168.596
273,155.284,168.596,165.488,123.376
274,158.92,123.376,168.596,107.292
275,148.182,107.292,123.376,97.576
276,130.935,97.576,107.292,91.966
277,117.075,91.966,97.576,87.845
278,105.095,87.845,91.966,83.486
279,94.366,83.486,87.845,78.558
280,85.927,78.558,83.486,75.132
281,79.315,75.132,78.558,83.974
282,90.615,83.974,75.132,90.158
283,126.166,90.158,83.974,123.117
284,131.956,123.117,90.158,110.44
285,173.751,110.44,123.117,89.147
286,145.443,89.147,110.44,85.514
287,135.698,85.514,89.147,118.914
288,123.145,118.914,85.514,134.949
289,110.333,134.949,118.914,103.89
290,137.395,103.89,134.949,94.136
291,143.25,94.136,103.89,94.729
292,154.477,94.729,94.136,228.719
293,174.405,228.719,94.729,233.647
294,199.585,233.647,228.719,165.03
295,293.717,165.03,233.647,137.787
296,250.97,137.787,165.03,122.94
297,227.528,122.94,137.787,111.848
298,190.028,111.848,122.94,113.259
299,165.41,113.259,111.848,117.63
300,151.936,117.63,113.259,98.333
301,149.008,98.333,117.63,88.429
302,133.301,88.429,98.333,81.386
303,119.592,81.386,88.429,78.171
304,114.909,78.171,81.386,79.626
305,112.172,79.626,78.171,83.361
306,112.309,83.361,79.626,88.281
307,118.261,88.281,83.361,94.55
308,114.733,94.55,88.281,100.321
309,113.57,100.321,94.55,82.48
310,113.973,82.48,100.321,75.015
311,109.419,75.015,82.48,69.965
312,111.51,69.965,75.015,67.071
313,102.199,67.071,69.965,65.972
314,91.18,65.972,67.071,63.337
315,84.609,63.337,65.972,64.641
316,84.841,64.641,63.337,86.247
317,126.729,86.247,64.641,792.835
318,1446.577,792.835,86.247,2050.431
319,3415.749,2050.431,792.835,2578.313
320,3626.501,2578.313,2050.431,3369.705
321,4419.607,3369.705,2578.313,3531.487
322,4947.655,3531.487,3369.705,5180.004
323,6897.407,5180.004,3531.487,3057.045
324,4755.407,3057.045,5180.004,2119.935
325,3553.807,2119.935,3057.045,1633.347
326,2756.907,1633.347,2119.935,1184.56
327,1953.004,1184.56,1633.347,922.885
328,1444.51,922.885,1184.56,778.82
329,1145.198,778.82,922.885,649.701
330,889.43,649.701,778.82,542.481
331,714.959,542.481,649.701,464.349
332,612.137,464.349,542.481,410.886
333,533.85,410.886,464.349,376.714
334,484.823,376.714,410.886,426.688
335,489.799,426.688,376.714,482.898
336,433.637,482.898,426.688,369.227
337,395.433,369.227,482.898,301.939
338,359.09,301.939,369.227,264.373
339,322.886,264.373,301.939,237.162
340,292.573,237.162,264.373,224.341
341,275.833,224.341,237.162,212.006
342,256.903,212.006,224.341,194.844
343,229.792,194.844,212.006,178.528
344,214.094,178.528,194.844,169.168
345,200.148,169.168,178.528,154.549
346,193.299,154.549,169.168,142.613
347,190.837,142.613,154.549,137.52
348,191.626,137.52,142.613,138.644
349,189.208,138.644,137.52,130.846
350,174.671,130.846,138.644,121.907
351,207.013,121.907,130.846,121.828
352,267.622,121.828,121.907,161.218
353,288.789,161.218,121.828,180.263
354,234.552,180.263,161.218,137.269
355,187.624,137.269,180.263,110.247
356,158.798,110.247,137.269,94.645
357,134.456,94.645,110.247,84.824
358,120.783,84.824,94.645,78.166
359,108.515,78.166,84.824,74.694
360,96.827,74.694,78.166,67.988
361,88.298,67.988,74.694,62.388
362,82.866,62.388,67.988,57.086
363,79.393,57.086,62.388,51.097
364,78.275,51.097,57.086,51.065
365,80.649,51.065,51.097,54.361
366,84.766,54.361,51.065,53.464
367,92.935,53.464,54.361,52.175
368,79.416,52.175,53.464,50.292
369,82.56,50.292,52.175,47.328
370,83.506,47.328,50.292,50.024
371,91.355,50.024,47.328,47.177
372,92.106,47.177,50.024,45.722
373,88.724,45.722,47.177,43.73
374,88.741,43.73,45.722,45.531
375,78.34,45.531,43.73,44.794
376,74.191,44.794,45.531,41.64
377,70.496,41.64,44.794,38.297
378,64.598,38.297,41.64,34.246
379,60.723,34.246,38.297,30.58
380,58.328,30.58,34.246,28.783
381,56.795,28.783,30.58,27.406
382,55.16,27.406,28.783,27.602
383,59.005,27.602,27.406,26.903
384,68.531,26.903,27.602,27.392
385,84.932,27.392,26.903,30.159
386,72.94,30.159,27.392,32.923
387,63.98,32.923,30.159,32.789
388,59.595,32.789,32.923,32.377
389,57.711,32.377,32.789,38.951
390,71.877,38.951,32.377,29.454
391,121.067,29.454,38.951,28.514
392,97.319,28.514,29.454,26.999
393,76.357,26.999,28.514,27.971
394,64.237,27.971,26.999,31.825
395,75.332,31.825,27.971,31.801
396,177.075,31.801,31.825,117.383
397,1119.09,117.383,31.801,443.116
398,1479.615,443.116,117.383,375.476
399,1065.933,375.476,443.116,470.985
400,605.805,470.985,375.476,962.558
401,629.723,962.558,470.985,1408.187
402,1890.089,1408.187,962.558,1870.362
403,3169.333,1870.362,1408.187,1147.131
404,1627.914,1147.131,1870.362,657.913
405,899.328,657.913,1147.131,434.254
406,598.682,434.254,657.913,331.109
407,477.42,331.109,434.254,266.165
408,417.591,266.165,331.109,221.046
409,352.472,221.046,266.165,190.831
410,302.111,190.831,221.046,183.117
411,277.559,183.117,190.831,185.686
412,261.045,185.686,183.117,172.66
413,235.955,172.66,185.686,153.088
414,210.171,153.088,172.66,135.161
415,189.92,135.161,153.088,120.134
416,172.793,120.134,135.161,110.785
417,168.025,110.785,120.134,106.72
418,175.003,106.72,110.785,103.428
419,184.928,103.428,106.72,97.037
420,155.846,97.037,103.428,86.991
421,141.837,86.991,97.037,79.98
422,132.948,79.98,86.991,73.132
423,127.972,73.132,79.98,71.309
424,183.329,71.309,73.132,73.2
425,173.935,73.2,71.309,78.304
426,201.979,78.304,73.2,115.432
427,277.259,115.432,78.304,124.015
428,241.235,124.015,115.432,108.398
429,191.502,108.398,124.015,90.701
430,172.394,90.701,108.398,86.506
431,194.681,86.506,90.701,116.904
432,302.766,116.904,86.506,146.628
433,407.717,146.628,116.904,297.145
434,2194.973,297.145,146.628,360.425
435,1629.031,360.425,297.145,460.132
436,2928.327,460.132,360.425,510.521
437,2230.22,510.521,460.132,403.733
438,1310.803,403.733,510.521,292.858
439,844.351,292.858,403.733,241.101
440,645.186,241.101,292.858,223.205
441,563.952,223.205,241.101,233.409
442,489.714,233.409,223.205,226.381
443,421.314,226.381,233.409,183.81
444,376.068,183.81,226.381,167.239
445,337.385,167.239,183.81,151.462
446,305.393,151.462,167.239,136.593
447,271.245,136.593,151.462,125.396
448,248.761,125.396,136.593,119.4
449,237.314,119.4,125.396,111.267
450,229.26,111.267,119.4,104.094
451,208.624,104.094,111.267,94.775
452,190.95,94.775,104.094,87.887
453,178.832,87.887,94.775,82.181
454,170.956,82.181,87.887,79.011
455,164.044,79.011,82.181,77.496
456,156.878,77.496,79.011,75.561
457,150.475,75.561,77.496,79.127
458,153.93,79.127,75.561,78.324
459,164.77,78.324,79.127,75.809
460,148.125,75.809,78.324,75.388
461,137.628,75.388,75.809,72.481
462,131.151,72.481,75.388,67.234
463,126.268,67.234,72.481,65.751
464,132.23,65.751,67.234,69.266
465,148.011,69.266,65.751,73.099
466,145.034,73.099,69.266,73.052
467,130.418,73.052,73.099,71.637
468,118.758,71.637,73.052,63.743
469,121.546,63.743,71.637,60.142
470,120.595,60.142,63.743,59.036
471,114.056,59.036,60.142,57.732
472,110.33,57.732,59.036,56.014
473,106.265,56.014,57.732,53.518
474,101.466,53.518,56.014,50.183
475,101.251,50.183,53.518,86.477
476,200.686,86.477,50.183,141.78
477,556.371,141.78,86.477,226.147
478,645.447,226.147,141.78,182.219
479,458.958,182.219,226.147,134.863
480,341.875,134.863,182.219,104.657
481,282.924,104.657,134.863,91.909
482,255.332,91.909,104.657,84.139
483,233.109,84.139,91.909,77.575
484,187.732,77.575,84.139,72.833
485,169.237,72.833,77.575,81.171
486,165.411,81.171,72.833,83.687
487,170.567,83.687,81.171,83.351
488,163.894,83.351,83.687,81.512
489,153.68,81.512,83.351,78.829
490,154.941,78.829,81.512,87.123
491,173.644,87.123,78.829,108.552
492,187.53,108.552,87.123,116.147
493,176.617,116.147,108.552,113.759
494,168.089,113.759,116.147,100.483
495,163.622,100.483,113.759,87.26
496,150.474,87.26,100.483,77.128
497,144.482,77.128,87.26,71.904
498,139.221,71.904,77.128,67.896
499,135.274,67.896,71.904,65.703
500,131.668,65.703,67.896,64.747
501,128.143,64.747,65.703,63.462
502,124.677,63.462,64.747,61.619
503,117.418,61.619,63.462,60.175
504,113.702,60.175,61.619,59.295
505,111.448,59.295,60.175,58.792
506,113.929,58.792,59.295,58.295
507,112.266,58.295,58.792,58.239
508,111.409,58.239,58.295,58.916
509,108.856,58.916,58.239,56.691
510,105.517,56.691,58.916,55.214
511,102.885,55.214,56.691,53.958
512,101.634,53.958,55.214,52.233
513,99.779,52.233,53.958,50.607
514,98.155,50.607,52.233,50.01
515,96.456,50.01,50.607,49.699
516,95.761,49.699,50.01,50.339
517,95.567,50.339,49.699,49.2
518,95.424,49.2,50.339,48.729
519,96.63,48.729,49.2,48.285
520,95.161,48.285,48.729,47.208
521,94.045,47.208,48.285,46.028
522,93.359,46.028,47.208,45.343
523,93.842,45.343,46.028,44.961
524,95.566,44.961,45.343,45.876
525,98.811,45.876,44.961,47.694
526,99.307,47.694,45.876,48.666
