N,212250_COXS,212260_KOWMUNG
317,84.841,64.641
318,126.729,86.247
319,1446.577,792.835
320,3415.749,2050.431
321,3626.501,2578.313
322,4419.607,3369.705
323,4947.655,3531.487
324,6897.407,5180.004
325,4755.407,3057.045
326,3553.807,2119.935
327,2756.907,1633.347
328,1953.004,1184.56
329,1444.51,922.885
330,1145.198,778.82
331,889.43,649.701
332,714.959,542.481
333,612.137,464.349
334,533.85,410.886
335,484.823,376.714
336,489.799,426.688
337,433.637,482.898
338,395.433,369.227
339,359.09,301.939
340,322.886,264.373
341,292.573,237.162
342,275.833,224.341
343,256.903,212.006
344,229.792,194.844
345,214.094,178.528
346,200.148,169.168
347,193.299,154.549
348,190.837,142.613
349,191.626,137.52
350,189.208,138.644
351,174.671,130.846
352,207.013,121.907
353,267.622,121.828
354,288.789,161.218
355,234.552,180.263
356,187.624,137.269
357,158.798,110.247
358,134.456,94.645
359,120.783,84.824
360,108.515,78.166
361,96.827,74.694
362,88.298,67.988
363,82.866,62.388
364,79.393,57.086
365,78.275,51.097
366,80.649,51.065
367,84.766,54.361
368,92.935,53.464
369,79.416,52.175
370,82.56,50.292
371,83.506,47.328
372,91.355,50.024
373,92.106,47.177
374,88.724,45.722
375,88.741,43.73
376,78.34,45.531
377,74.191,44.794
378,70.496,41.64
379,64.598,38.297
380,60.723,34.246
381,58.328,30.58
382,56.795,28.783
383,55.16,27.406
384,59.005,27.602
385,68.531,26.903
386,84.932,27.392
387,72.94,30.159
388,63.98,32.923
389,59.595,32.789
390,57.711,32.377
391,71.877,38.951
392,121.067,29.454
393,97.319,28.514
394,76.357,26.999
395,64.237,27.971
396,75.332,31.825
397,177.075,31.801
398,1119.09,117.383
399,1479.615,443.116
400,1065.933,375.476
401,605.805,470.985
402,629.723,962.558
403,1890.089,1408.187
404,3169.333,1870.362
405,1627.914,1147.131
406,899.328,657.913
407,598.682,434.254
408,477.42,331.109
409,417.591,266.165
410,352.472,221.046
411,302.111,190.831
412,277.559,183.117
413,261.045,185.686
414,235.955,172.66
415,210.171,153.088
416,189.92,135.161
417,172.793,120.134
418,168.025,110.785
419,175.003,106.72
420,184.928,103.428
421,155.846,97.037
422,141.837,86.991
423,132.948,79.98
424,127.972,73.132
425,183.329,71.309
426,173.935,73.2
427,201.979,78.304
428,277.259,115.432
429,241.235,124.015
430,191.502,108.398
431,172.394,90.701
432,194.681,86.506
433,302.766,116.904
434,407.717,146.628
435,2194.973,297.145
436,1629.031,360.425
437,2928.327,460.132
438,2230.22,510.521
439,1310.803,403.733
440,844.351,292.858
441,645.186,241.101
442,563.952,223.205
443,489.714,233.409
444,421.314,226.381
445,376.068,183.81
446,337.385,167.239
447,305.393,151.462
448,271.245,136.593
449,248.761,125.396
450,237.314,119.4
451,229.26,111.267
452,208.624,104.094
453,190.95,94.775
454,178.832,87.887
455,170.956,82.181
456,164.044,79.011
457,156.878,77.496
458,150.475,75.561
459,153.93,79.127
460,164.77,78.324
461,148.125,75.809
462,137.628,75.388
463,131.151,72.481
464,126.268,67.234
465,132.23,65.751
466,148.011,69.266
467,145.034,73.099
468,130.418,73.052
469,118.758,71.637
470,121.546,63.743
471,120.595,60.142
472,114.056,59.036
473,110.33,57.732
474,106.265,56.014
475,101.466,53.518
476,101.251,50.183
477,200.686,86.477
478,556.371,141.78
479,645.447,226.147
480,458.958,182.219
481,341.875,134.863
482,282.924,104.657
483,255.332,91.909
484,233.109,84.139
485,187.732,77.575
486,169.237,72.833
487,165.411,81.171
488,170.567,83.687
489,163.894,83.351
490,153.68,81.512
491,154.941,78.829
492,173.644,87.123
493,187.53,108.552
494,176.617,116.147
495,168.089,113.759
496,163.622,100.483
