N,212250_COXS,212260_KOWMUNG
1348,159.573,94.596
1349,147.156,82.033
1350,156.634,103.321
1351,303.065,245.098
1352,321.571,188.098
1353,577.721,285.211
1354,459.667,219.799
1355,353.632,161.829
1356,285.261,121.955
1357,236.397,98.042
1358,200.344,86.573
1359,205.534,89.671
1360,278.424,100.38
1361,231.062,132.853
1362,206.777,101.838
1363,197.046,76.959
1364,170.595,65.461
1365,148.045,64.382
1366,130.279,68.87
1367,115.607,72.021
1368,109.573,75.384
1369,103.797,59.209
1370,93.321,53.767
1371,83.924,48.131
1372,75.021,42.85
1373,65.631,37.513
1374,59.615,34.801
1375,61.426,32.795
1376,61.608,30.953
1377,55.532,27.041
1378,51.022,25.565
1379,47.778,25.582
1380,43.295,22.772
1381,38.395,19.356
1382,32.521,15.92
1383,28.447,12.661
1384,26.455,11.151
1385,26.826,10.987
1386,24.159,8.982
1387,21.367,7.291
1388,18.081,5.784
1389,14.968,4.647
1390,14.123,4.048
1391,18.639,3.908
1392,31.204,4.36
1393,41.05,3.803
1394,33.886,3.33
1395,30.277,3.529
1396,27.237,4.499
1397,25.327,4.086
1398,22.644,3.671
1399,18.75,3.306
1400,15.93,4.418
1401,14.289,5.322
1402,14.474,8.844
1403,17.468,7.829
1404,20.615,6.299
1405,24.921,4.897
1406,22.469,4.588
1407,17.341,4.589
1408,12.985,3.606
1409,10.286,2.852
1410,8.339,2.552
1411,7.034,2.699
1412,6.316,3.046
1413,5.674,2.822
1414,4.947,2.452
1415,4.452,1.962
1416,5.235,1.664
1417,4.668,1.448
1418,4.268,1.443
1419,4.103,1.238
1420,3.677,1.172
1421,6.753,4.127
1422,6.518,5.121
1423,18.697,2.966
1424,17.549,2.258
1425,16.742,2.255
1426,13.574,3.935
1427,10.22,3.432
1428,8.622,2.806
1429,7.268,2.374
1430,5.891,1.859
1431,5.572,1.522
1432,6.169,1.604
1433,10.747,3.628
1434,159.829,83.134
1435,485.506,152.435
1436,313.859,167.886
1437,167.355,136.004
1438,104.602,87.962
1439,71.398,56.241
1440,55.314,38.854
1441,54.381,31.041
1442,47.864,25.529
1443,42.321,21.869
1444,44.468,22.959
1445,72.268,32.874
1446,101.449,100.734
1447,83.456,109.122
1448,63.687,82.587
1449,53.966,66.173
1450,50.348,55.078
1451,50.521,56.112
1452,48.78,51.608
1453,43.748,48.394
1454,40.493,44.76
1455,36.665,37.86
1456,31.935,33.021
1457,28.867,29.075
1458,26.16,25.915
1459,24.916,23.995
1460,29.576,24.229
1461,33.136,27.664
1462,27.382,25.265
1463,24.219,22.087
1464,21.645,21.49
1465,19.556,19.306
1466,17.584,16.048
1467,16.444,13.233
1468,15.622,11.321
1469,14.149,9.699
1470,12.839,8.761
1471,11.488,7.404
1472,11.531,6.975
1473,64.96,13.398
1474,109.691,83.136
1475,183.041,239.806
1476,140.37,139.534
1477,104.269,100.852
1478,79.947,79.027
1479,66.402,59.625
1480,58.257,48.572
1481,51.128,40.52
1482,45.948,35.485
1483,43.513,32.513
1484,40.857,30.211
1485,38.329,27.701
1486,34.644,25.355
1487,30.711,22.531
1488,28.829,19.738
1489,27.598,17.845
1490,26.741,16.38
1491,26.532,14.676
1492,25.094,12.898
1493,23.02,11.321
1494,21.328,9.836
1495,20.236,8.802
1496,19.888,8.434
1497,20.655,8.334
1498,25.239,8.862
1499,30.136,9.214
1500,27.441,11.592
1501,24.853,9.625
1502,21.046,8.247
1503,19.59,7.502
1504,18.135,8.003
1505,17.195,8.637
1506,17.327,7.98
1507,17.221,7.449
1508,17.867,7.299
1509,17.482,7.035
1510,17.363,6.66
1511,16.664,6.306
1512,15.405,5.961
1513,14.26,5.672
1514,13.84,5.387
1515,13.243,5.13
1516,12.305,4.91
1517,12.302,4.819
1518,12.103,4.632
1519,11.795,4.417
1520,11.482,4.267
1521,11.721,4.191
1522,11.81,4.104
1523,12.065,4.107
1524,14.473,4.441
1525,20.923,5.446
1526,26.87,5.363
1527,26.745,5.032
1528,26.131,5.217
1529,25.23,5.234
1530,23.408,4.778
1531,25.533,4.515
1532,24.654,4.398
1533,22.911,5.38
1534,21.3,6.007
1535,20.134,5.686
1536,19.194,5.401
1537,18.591,5.084
1538,18.22,4.892
1539,17.78,4.917
1540,17.484,4.999
1541,19.269,5.302
1542,18.623,5.429
1543,18.503,5.502
1544,17.897,5.397
1545,16.277,4.939
1546,15.537,4.82
1547,14.97,4.696
1548,14.466,4.503
1549,14.867,4.375
1550,16.207,4.332
1551,20.501,4.389
1552,23.832,4.505
1553,21.614,6.006
1554,20.852,8.58
1555,20.156,17.811
1556,18.452,14.305
1557,17.114,11.29
1558,17.717,9.903
1559,17.875,8.711
1560,16.391,7.787
1561,14.996,6.921
1562,14.247,6.424
1563,13.647,6.085
1564,13.53,5.73
1565,12.949,5.382
1566,12.642,5.054
1567,11.832,4.885
1568,11.347,4.659
1569,11.348,4.445
1570,12.06,4.356
1571,17.987,7.95
1572,17.739,7.615
1573,17.191,7.461
1574,17.146,7.356
1575,17.28,7.279
1576,18.431,7.61
1577,24.268,8.018
1578,27.589,7.981
1579,28.097,8.992
1580,26.891,22.147
1581,25.956,22.228
1582,27.606,19.38
1583,26.606,16.674
1584,34.972,27.519
1585,33.119,55.318
1586,37.17,44.727
1587,36.683,37.99
1588,35.855,35.213
1589,33.776,31.069
1590,37.921,31.798
1591,55.794,32.812
1592,57.62,122.136
1593,49.326,114.154
1594,44.948,92.007
1595,41.031,75.966
1596,39.565,67.727
1597,36.274,65.243
1598,31.944,57.534
1599,28.318,49.906
1600,25.686,44.651
1601,24.722,41.233
1602,25.006,44.55
1603,21.41,38.387
1604,19.719,32.471
1605,18.076,30.181
1606,16.155,28.19
1607,14.6,25.739
1608,13.017,23.777
1609,11.931,21.913
1610,11.255,20.758
1611,11.476,19.737
1612,12.734,21.814
1613,73.071,77.783
1614,425.984,239.313
1615,217.739,304.828
1616,190.029,192.751
1617,146.331,139.851
1618,105.085,113.677
1619,80.929,92.938
1620,65.608,75.089
1621,55.77,62.584
1622,48.741,54.406
1623,44.31,47.922
1624,40.6,42.5
1625,36.598,37.441
1626,32.094,32.729
1627,27.739,30.088
1628,24.219,26.346
1629,22.902,23.816
1630,24.121,25.848
1631,40.351,28.689
1632,214.265,60.8
1633,1191.386,449.548
1634,1068.455,764.165
1635,547.705,577.113
1636,378.877,402.219
1637,467.593,407.909
1638,355.094,374.232
1639,261.774,272.04
1640,204.935,210.095
1641,169.434,168.58
1642,147.139,143.922
1643,130.198,125.709
1644,119.609,115.276
1645,122.02,112.055
1646,123.154,118.401
1647,107.621,127.698
1648,251.909,242.128
1649,521.375,1061.109
1650,548.546,695.373
1651,367.068,445.632
1652,285.511,343.247
1653,256.402,307.894
1654,231.963,285.946
1655,297.154,355.706
1656,273.405,442.518
1657,248.359,347.735
1658,238.286,281.362
1659,196.359,229.836
1660,168.366,203.193
1661,146.893,184.982
1662,129.131,167.783
1663,127.263,163.132
1664,132.126,174.813
1665,123.363,169.328
1666,108.472,150.414
1667,54.492,38.231
1668,51.183,35.26
1669,72.433,35.561
1670,83.22,52.994
1671,90.073,188.785
1672,69.997,143.169
1673,56.162,101.415
1674,46.865,76.194
1675,41.288,60.761
1676,37.338,52.484
1677,32.89,46.233
1678,29.319,41.164
1679,26.625,35.618
1680,25.446,31.937
1681,24.887,30.381
1682,24.484,27.002
1683,22.858,25.79
1684,20.037,28.517
1685,16.422,27.733
1686,13.936,23.015
1687,12.823,17.846
1688,11.526,13.521
1689,10.258,10.744
1690,9.391,9.233
1691,10.159,8.619
1692,15.316,8.738
1693,20.456,10.096
1694,23.429,7.717
1695,23.789,6.305
1696,21.928,5.48
1697,22.116,5.384
1698,21.952,5.604
1699,40.137,12.215
1700,95.015,31.202
1701,452.806,145.108
1702,1097.112,221.536
1703,503.107,254.699
1704,341.071,158.009
1705,244.229,118.38
1706,181.387,96.28
1707,148.215,78.513
1708,335.667,82.642
1709,5571.393,988.352
1710,2916.293,1432.163
1711,1230.827,834.115
1712,702.396,506.358
1713,479.93,360.064
1714,360.265,280.333
1715,284.478,220.086
1716,233.751,180.756
1717,209.832,151.784
1718,185.821,131.972
1719,163.548,122.476
1720,144.767,109.71
1721,133.23,98.81
1722,118.395,86.205
1723,106.847,75.746
1724,99.719,67.589
1725,95.613,59.328
1726,90.639,54.957
1727,206.671,124.363
1728,782.26,338.88
1729,546.518,348.425
1730,338.043,213.706
1731,249.792,151.729
1732,201.76,125.292
1733,195.978,108.741
1734,175.333,154.507
1735,171.084,129.128
1736,159.431,111.549
1737,144.58,98.456
1738,140.257,104.168
1739,214.493,114.379
1740,198.701,108.31
1741,167.575,107.984
1742,144.079,88.946
1743,129.902,77.756
1744,119.281,67.444
1745,109.404,60.871
1746,101.789,54.989
1747,94.413,49.506
1748,88.174,45.429
1749,81.925,41.898
1750,76.755,38.52
1751,79.033,38.278
1752,135.739,44.102
1753,211.703,45.923
1754,217.609,50.244
1755,173.391,61.639
1756,148.726,56.435
1757,149.679,57.024
1758,179.719,78.046
1759,184.467,117.545
1760,151.187,116.437
1761,132.89,86.237
1762,118.479,68.883
1763,107.327,58.682
1764,98.025,51.542
1765,97.242,46.818
1766,92.008,43.452
1767,84.33,40.793
1768,79.714,38.459
1769,73.985,36.392
1770,85.084,45.851
1771,115.493,55.02
1772,116.964,55.303
1773,106.01,60.345
1774,94.701,53.709
1775,86.233,46.468
1776,80.952,41.713
1777,83.86,43.601
1778,100.561,52.198
1779,94.218,45.641
1780,84.3,37.9
1781,74.627,38.506
1782,77.143,51.284
1783,75.287,44.222
1784,69.379,37.566
1785,61.387,36.784
1786,56.98,34.117
1787,56.372,31.353
1788,55.476,28.806
1789,54.346,26.671
1790,52.481,25.703
1791,50.725,25.236
1792,49.302,24.357
1793,47.347,23.291
1794,45.575,22.021
1795,43.919,21.013
1796,41.948,19.897
1797,40.284,18.269
1798,39.035,16.685
1799,38.392,15.362
1800,38.24,14.211
1801,38.024,13.398
1802,37.999,13.183
1803,38.346,13.62
1804,40.18,14.196
1805,40.355,13.509
1806,40.398,12.676
1807,40.048,12.513
1808,38.554,12.428
1809,37.377,12.44
1810,37.252,12.259
1811,37.121,11.693
1812,37.985,11.089
1813,38.358,11.007
1814,39.339,11.701
1815,40,12.123
1816,39.257,13.674
1817,38.869,15.444
1818,38.113,16.417
1819,36.483,15.869
1820,34.466,15.417
1821,33.096,15.334
1822,31.095,13.488
1823,29.772,11.445
1824,28.458,10.294
1825,27.053,9.271
1826,26.441,8.794
1827,26.421,8.513
1828,25.985,8.199
1829,25.924,8.077
1830,25.785,7.976
1831,26.121,8.012
1832,26.443,7.98
1833,26.346,7.832
1834,25.503,7.674
1835,25.107,7.64
1836,27.201,7.559
1837,25.33,7.611
1838,25.186,7.99
1839,28.748,9.005
1840,32.12,9.39
1841,36.862,10.347
1842,36.392,10.654
1843,37.202,11.549
1844,33.931,18.515
1845,30.06,22.004
1846,28.759,22.424
1847,28.461,20.052
1848,27.25,18.072
1849,26.414,15.519
1850,26.451,13.445
1851,27.807,12.764
1852,30.019,13.752
1853,33.29,19.144
1854,38.598,30.704
1855,46.202,42.284
1856,51.87,40.338
1857,51.87,1358.859
1858,1751.768,4394.207
1859,1765.813,1548.566
1860,823.716,835.421
1861,525.444,556.947
1862,400.915,422.076
1863,323.579,340.877
1864,275.959,284.238
1865,243.52,246.988
1866,238.743,236.486
1867,218.269,245.976
1868,195.679,245.953
1869,177.503,243.01
1870,170.877,219.935
1871,167.163,204.026
1872,155.593,197.881
1873,144.931,182.288
1874,135.273,169.797
1875,127.891,163.632
1876,121.339,154.21
1877,115.063,143.027
1878,110.334,134.341
1879,105.918,128.234
1880,101.997,122.852
1881,97.183,116.867
1882,92.412,111.01
1883,89.096,105.377
1884,85.622,100.849
1885,83.285,98.618
1886,80.698,96.924
1887,78.125,92.351
1888,75.096,86.737
1889,72.671,81.778
1890,70.784,77.41
1891,69.568,73.641
1892,74.094,73.085
1893,92.77,80.672
1894,86.233,136.727
1895,77.099,120.628
1896,73.07,98.091
1897,74.815,87.092
1898,72.947,81.814
1899,74.479,85.549
1900,72.15,101.967
1901,65.39,107.949
1902,62.864,99.575
1903,60.856,96.568
1904,58.287,91.627
1905,56.485,88.35
1906,54.387,84.831
1907,52.637,79.938
1908,51.979,73.961
1909,50.225,69.784
1910,49.936,70.613
1911,49.237,83.014
1912,48.352,79.724
1913,47.438,76.494
1914,46.55,69.444
1915,45.925,64.661
1916,45.106,61.464
1917,44.14,58.963
1918,43.182,56.554
1919,42.485,53.75
1920,41.245,52.914
1921,41.164,52.564
1922,40.623,53.73
1923,43.543,59.651
1924,52.279,62.363
1925,56.004,75.714
1926,50.998,89.343
1927,47.649,71.239
1928,44.735,61.697
1929,43.017,56.67
1930,44.395,56.548
1931,47.933,60.499
1932,50.984,151.912
1933,45.568,126.229
1934,42.078,113.229
1935,41.139,101.782
1936,49.979,98.983
1937,59.605,108.966
1938,60.58,175.845
1939,55.856,183.239
1940,50.47,155.399
1941,45.863,143.407
1942,43.626,124.682
1943,40.72,111.151
1944,38.138,101.607
1945,44.029,103.747
1946,58.962,124.713
1947,65.599,246.683
1948,68.066,215.731
1949,86.762,365.178
1950,84.092,365.863
1951,71.568,274.739
1952,60.909,224.132
1953,56.749,186.81
1954,51.744,160.694
1955,45.841,143.831
1956,40.876,129.558
1957,40.914,125.148
1958,43.423,136.284
1959,44.405,162.212
1960,39.243,136.388
1961,36.408,118.166
1962,34.973,104.172
1963,35.91,96.687
1964,36.271,94.568
1965,40.362,101.22
1966,61.532,112.462
1967,109.208,124.207
1968,90.06,136.686
1969,81.771,114.934
1970,84.234,104.531
1971,94.813,101.287
1972,81.776,107.285
1973,71.634,101.435
1974,66.127,86.825
1975,62.664,75.739
1976,57.763,68.851
1977,50.608,62.05
1978,44.86,57.332
1979,63.665,73.237
1980,422.813,221.498
1981,1207.262,448.057
1982,618.704,349.406
1983,402.799,275.213
1984,300.589,244.29
1985,253.721,220.449
1986,241.345,212.12
1987,211.862,188.641
1988,808.02,966.188
1989,520.813,628.873
1990,385.246,472.2
1991,308.644,378.349
1992,257.663,314.944
1993,223.678,275.51
1994,202.074,246.137
1995,178.09,221.997
1996,158.388,200.173
1997,142.98,175.244
1998,131.645,156.952
1999,126.778,147.704
2000,126.13,140.877
2001,123.976,149.328
2002,123.381,135.584
2003,171.22,155.21
2004,235.228,250.471
2005,288.823,397.166
2006,339.417,360.07
2007,434.092,338.53
2008,521.032,385.105
2009,501.596,410.851
2010,416.133,368.253
2011,426.379,353.506
2012,430.37,447.133
2013,356.602,342.686
2014,280.172,270.913
2015,225.259,230.228
2016,183.456,202.145
2017,152.994,171.727
2018,132.895,148.093
2019,116.444,132.957
2020,106.195,121.657
2021,96.781,112.49
2022,88.341,104.326
2023,78.788,96.242
2024,73.061,86.335
2025,75.301,80.634
2026,75.322,82.712
2027,64.724,86.263
2028,55.821,79.817
2029,49.779,64.214
2030,45.823,55.023
2031,42.805,47.994
2032,40.044,42.586
2033,34.408,37.628
2034,29.631,32.426
2035,26.799,28.471
2036,25.437,25.917
2037,23.444,23.814
2038,21.198,21.658
2039,18.762,18.909
2040,15.847,15.454
2041,16.433,14.633
2042,15.433,14.133
2043,16.702,11.516
2044,18.782,11.85
2045,24.173,15.216
2046,36.155,23.683
2047,44.364,27.895
2048,40.437,27.59
2049,34.841,31.992
2050,32.102,38.249
2051,133.709,95.425
2052,217.445,102.959
2053,243.97,111.256
2054,163.342,76.591
2055,847.829,103.123
2056,7758.504,3405.758
2057,4980.201,4165.155
2058,3612.016,3654.959
2059,2454.736,2117.557
2060,1619.891,1344.169
2061,1070.31,879.541
2062,767.18,607.588
2063,590.498,455.764
2064,494.418,378.035
2065,438.269,332.766
2066,377.991,299.761
2067,492.047,393.994
2068,540.566,319.224
2069,361.024,247.006
2070,290.907,209.665
2071,258.414,181.401
2072,225.01,159.383
2073,196.227,142.425
2074,183.181,133.83
2075,175.299,123.238
2076,158.069,112.414
2077,142.002,104.074
2078,132.072,93.12
2079,118.786,83.358
2080,105.98,77.199
2081,94.989,68.473
2082,87.849,62.419
2083,80.5,57.72
2084,74.29,53.837
2085,75.083,52.523
2086,80.064,53.825
2087,79.416,56.773
2088,71.142,59.142
2089,74.7,67.025
2090,69.924,69.003
2091,66.549,58.079
2092,63.013,52.197
2093,57.847,45.566
2094,55.493,42.129
2095,54.825,37.837
2096,94.211,38.667
2097,94.38,43.613
2098,89.567,45.901
2099,74.551,39.567
2100,60.839,40.582
2101,58.102,37.474
2102,59.519,34.247
2103,57.193,32.068
2104,51.826,29.409
2105,46.921,28.224
2106,41.878,26.161
2107,37.779,23.474
2108,33.757,20.114
2109,30.927,17.811
2110,28.594,15.701
2111,27.37,13.23
2112,26.432,11.641
2113,28.385,12.664
2114,32.629,13.466
2115,35.167,12.657
2116,30.593,11.065
2117,28.157,9.479
2118,26.192,8.648
2119,27.784,9.468
2120,30.62,11.402
2121,34.817,13.697
2122,40.026,14.473
2123,43.302,14.623
2124,43.564,16.626
2125,37.96,16.459
2126,34.596,17.333
2127,30.833,16.065
2128,29.466,15.655
2129,32.638,18.54
2130,36.971,18.342
2131,35.871,14.781
2132,30.028,12.535
2133,27.481,11.039
2134,25.045,10.085
2135,20.89,9.151
2136,17.916,8.25
2137,16.017,7.307
2138,14.797,6.587
2139,14.054,5.94
2140,13.563,5.446
2141,13.074,4.953
2142,13.007,4.719
2143,13.494,4.731
2144,13.119,4.334
2145,12.967,3.757
2146,12.062,3.643
2147,11.483,3.532
2148,11.045,3.291
2149,10.604,2.987
2150,10.245,2.603
2151,9.667,2.516
2152,9.306,2.428
2153,8.971,2.183
2154,8.995,1.971
2155,9.3,1.754
2156,9.38,1.591
2157,9.745,1.463
2158,10.131,1.5
2159,10.7,1.601
2160,10.851,1.701
2161,11.044,1.672
2162,10.66,1.563
2163,9.659,1.493
2164,9.075,2.418
2165,8.947,2.72
2166,8.623,2.706
2167,10.313,2.645
2168,9.942,2.702
2169,10.894,2.792
2170,10.94,3.11
2171,10.5,3.409
2172,10.551,3.709
2173,11.377,3.776
2174,12.461,3.788
2175,13.027,4.077
2176,13.703,4.223
2177,15.016,4.575
2178,15.998,4.734
2179,16.654,4.703
2180,17.448,4.528
2181,17.346,4.982
2182,19.16,7.848
2183,21.394,6.38
2184,20.26,5.215
2185,20.583,5.048
2186,20.231,5.539
2187,19.333,6.408
2188,18.914,6.612
2189,19.076,6.138
2190,18.845,6.093
2191,18.082,6.061
2192,19.118,6.493
2193,20.764,7.261
2194,23.623,7.129
2195,25.981,7.839
2196,27.028,10.936
2197,32.598,13.005
2198,35.235,18.212
2199,33.728,23.209
2200,34.924,23.588
2201,41.656,26.178
2202,58.086,26.565
2203,51.618,25.688
2204,44.628,37.654
2205,39.797,35.619
2206,35.375,29.383
2207,33.175,24.462
2208,31.772,20.981
2209,29.982,18.701
2210,28.851,16.661
2211,28.119,15.367
2212,28.574,16.119
2213,30.404,16.828
2214,33.765,17.316
2215,34.075,18.235
2216,33.033,17.034
2217,31.009,16.098
2218,29.142,16.31
2219,28.37,15.799
2220,28.073,15.474
2221,28.075,14.85
2222,27.908,13.592
2223,27.933,14.021
2224,28.67,12.858
2225,29.675,14.287
2226,31.282,20.702
2227,31.188,30.922
2228,29.369,30.04
2229,28.371,26.434
2230,27.056,22.967
2231,25.243,19.646
2232,23.751,16.897
2233,22.267,14.511
2234,21.709,12.944
2235,25.844,16.465
2236,36.723,20.567
2237,55.484,23.055
2238,49.438,22.652
2239,50.262,40.664
2240,49.988,39.625
2241,47.915,46.488
2242,48.426,40.486
2243,48.043,34.698
2244,49.441,37.203
2245,80.927,50.989
2246,151.743,79.754
2247,109.9,122.039
2248,84.222,89.34
2249,81.194,66.891
2250,70.883,54.077
2251,60.282,46.13
2252,52.211,40.756
2253,47.459,37.068
2254,44.185,34.667
2255,42.694,33.971
2256,41.058,32.379
2257,40.998,30.634
2258,40.167,29.808
2259,38.688,31.006
2260,37.916,31.483
2261,34.731,28.955
2262,32.026,26.55
2263,30.551,24.487
2264,29.446,23.162
2265,28.611,22.043
2266,27.808,21.114
2267,27.328,20.467
2268,26.559,19.517
2269,25.252,18.385
2270,24.238,17.388
2271,23.246,16.434
2272,22.536,15.541
2273,21.856,14.478
2274,21.284,13.241
2275,20.441,12.401
2276,19.754,11.923
2277,19.877,12.753
2278,20.168,13.362
2279,19.831,13.194
2280,19.486,14.207
2281,20.213,15.397
2282,21.331,15.954
2283,22.158,15.364
2284,22.978,15.421
2285,22.192,14.685
2286,20.708,12.065
2287,20.427,11.886
2288,22.215,11.898
2289,41.485,27.772
2290,94.051,45.398
2291,84.243,102.954
2292,73.056,97.994
2293,98.316,77.551
2294,142.573,91.128
2295,128.045,112.621
2296,100.205,109.177
2297,82.49,88.624
2298,73.423,72.882
2299,63.573,62.476
2300,56.514,54.845
2301,50.381,48.644
2302,44.61,42.873
2303,39.91,38.458
2304,33.69,34.362
2305,28.273,30.504
2306,25.088,27.452
2307,22.657,25.382
2308,20.802,23.301
2309,19.526,21.259
2310,17.698,19.639
2311,16.849,17.874
2312,14.619,16.342
2313,12.984,14.701
2314,11.713,13.286
2315,10.428,11.874
2316,9.727,10.767
2317,8.797,9.608
2318,7.797,8.336
2319,7.321,7.625
2320,6.568,6.85
2321,5.793,6.117
2322,5.215,5.597
2323,4.809,5.125
2324,4.324,4.592
2325,4.044,3.94
2326,3.567,3.334
2327,3.313,2.848
2328,3.398,2.741
2329,3.53,2.786
2330,3.357,2.489
2331,3.255,1.991
2332,3.18,1.545
2333,3.79,1.258
2334,4.081,1.172
2335,3.879,1.175
2336,3.316,1.182
2337,2.88,1.056
2338,3.042,0.813
2339,2.727,0.617
2340,1.959,0.448
2341,1.774,0.328
2342,1.512,0.258
2343,1.375,0.203
2344,1.342,0.165
2345,1.429,0.184
2346,1.957,0.341
2347,2.416,0.336
2348,3.52,0.403
2349,6.572,0.899
2350,6.793,1.086
2351,7.427,0.936
2352,6.138,0.703
2353,5.063,0.502
2354,4.261,0.357
2355,4.001,4.662
2356,3.845,5.55
2357,3.121,4.677
2358,2.363,3.442
2359,1.742,2.365
2360,1.392,1.668
2361,1.2,1.313
2362,1.143,1.002
2363,1.092,0.757
2364,1.048,0.548
2365,1.061,0.338
2366,1.012,0.218
2367,0.945,0.151
2368,0.891,0.121
2369,0.873,0.122
2370,0.806,0.124
2371,0.771,0.123
2372,0.831,0.113
2373,0.817,0.116
2374,0.797,0.093
2375,0.845,0.113
2376,0.856,0.218
2377,0.766,0.158
2378,0.687,0.115
2379,0.628,0.097
2380,0.583,0.083
2381,0.527,0.053
2382,0.467,0.024
2383,0.392,0.006
2384,0.291,0
2385,0.234,0
2386,0.217,0
2387,0.09,0
2388,0.079,0.012
2389,0.27,0.069
2390,0.296,0.064
2391,0.183,0.022
2392,0.058,0
2393,31.249,0.072
2394,55.951,0.057
2395,73.79,0.021
2396,50.746,0.001
2397,37.857,0
2398,28.688,0
2399,23.352,3.952
2400,18.647,7.176
2401,14.221,5.889
2402,11.002,4.684
2403,8.787,3.28
2404,6.666,2.395
2405,5.267,1.815
2406,4.137,1.399
2407,3.709,1.158
2408,3.513,0.967
2409,2.552,0.761
2410,2.103,0.568
2411,13.666,0.426
2412,24.812,0.352
2413,16.592,0.33
2414,14.25,0.597
2415,17.225,0.565
2416,24.868,0.408
2417,16.412,0.346
2418,10.278,0.318
2419,6.412,3.859
2420,4.312,8.127
2421,2.864,6.037
2422,3.17,5.17
2423,3.215,4.864
2424,2.387,3.767
2425,1.779,2.616
2426,1.459,1.901
2427,1.317,1.48
2428,1.354,1.399
2429,1.42,256.512
2430,1.943,248.561
2431,136.492,112.728
2432,94.391,75.092
2433,1430.872,881.267
2434,1862.006,1712.031
2435,569.335,726.553
2436,389.495,381.789
2437,246.943,253.033
2438,209.116,198.906
2439,150.749,166.541
2440,114.613,133.498
2441,98.064,129.642
2442,79.669,114.889
2443,56.066,101.449
2444,54.739,91.804
2445,206.054,109.81
2446,379.475,117.309
2447,333.264,98.063
2448,320.658,117.633
2449,336.857,158.778
2450,378.652,162.392
2451,404.743,149.843
2452,463.178,140.745
2453,364.148,113.469
2454,348.807,142.389
2455,460.888,345.906
2456,558.041,416.176
2457,510.432,328.119
2458,569.635,365.362
2459,528.017,331.432
2460,434.382,248.045
2461,360.184,188.655
2462,317.362,156.177
2463,280.388,131.016
2464,246.027,115.199
2465,214.842,102.586
2466,189.247,96.273
2467,189.446,114.229
2468,183.16,115.634
2469,186.412,108.632
2470,172.55,101.364
2471,150.432,91.893
2472,133.879,82.633
2473,124.407,73.376
2474,112.279,71.585
2475,106.682,68.309
2476,103.138,65.367
2477,93.592,66.611
2478,84.411,66.986
2479,76.217,59.195
2480,68.12,51.125
2481,62.091,46.161
2482,57.772,43.132
2483,54.432,40.911
2484,52.728,40.326
2485,98.361,38.521
2486,127.271,40.394
2487,113.254,55.648
2488,86.474,45.718
2489,79.88,42.311
2490,79.371,42.378
2491,70.691,44.361
2492,62.751,41.756
2493,56.463,38.087
2494,51.63,35.192
2495,48.566,33.059
2496,46.791,31.007
2497,43.665,29.175
2498,41.717,27.306
2499,40.009,26.437
2500,38.988,25.824
2501,36.525,24.706
2502,34.69,23.43
2503,35.294,22.846
2504,41.794,24.947
2505,48.055,29.917
2506,53.723,35.84
2507,67.891,50.875
2508,64.532,54.059
2509,64.476,51.679
2510,60.136,45.383
2511,54.669,45.871
2512,52.049,45.477
2513,48.492,46.285
2514,44.317,43.089
2515,42.24,38.427
2516,40.771,34.153
2517,39.601,31.266
2518,38.492,29.286
2519,38.803,28.706
2520,45.666,34.272
2521,56.207,36.369
2522,50.849,34.046
2523,47.034,34.671
2524,44.149,35.728
2525,42.47,32.968
2526,41.507,31.001
2527,41.224,29.313
2528,97.223,51.998
2529,255.08,89.146
2530,174.935,109.418
2531,134.653,105.338
2532,135.707,82.512
2533,124.281,69.619
2534,104.335,64.298
2535,92.282,61.333
2536,82.963,56.695
2537,76.619,51.765
2538,71.525,47.877
2539,67.918,44.718
2540,66.183,43.752
2541,63.099,42.78
2542,58.13,42.49
2543,54.676,44.468
2544,53.181,43.812
2545,51.943,41.294
2546,50.301,38.93
2547,48.963,37.296
2548,51.068,37.402
2549,90.747,43.167
2550,4156.414,78.056
2551,4446.912,525.313
2552,1635.835,469.637
2553,922.363,334.606
2554,639.85,267.722
2555,530.693,245.456
2556,4203.476,2637.546
2557,7101.957,4200.32
2558,7161.367,4438.006
2559,3137.632,2216.474
2560,3583.283,1988.564
2561,4112.87,2556.755
2562,3009.077,2394.618
2563,2092.772,1737.271
2564,1546.659,1331.64
2565,1178.444,1031.566
2566,985.216,834.901
2567,1257.23,1004.47
2568,1945.076,1543.141
2569,1521.754,1360.518
2570,1360.634,1473.738
2571,1117.905,1304.578
2572,919.021,1116.277
2573,793.127,900.072
2574,687.371,783.38
2575,623.548,670.931
2576,606.995,730.027
2577,591.921,812.168
2578,565.509,870.747
2579,514.892,755.286
2580,486.271,693.081
2581,514.582,770.651
2582,503.232,730.798
2583,458.639,662.314
2584,421.323,603.001
2585,393.843,552.309
2586,369.4,499.744
2587,346.01,452.346
2588,325.3,413.314
2589,308.575,384.542
2590,287.651,365.762
2591,267.85,341.744
2592,254.563,318.423
2593,242.906,296.339
2594,231.715,279.106
2595,222.9,261.655
2596,213.275,247.221
2597,204.366,235.923
2598,196.065,224.253
2599,188.396,216.312
2600,179.934,207.921
2601,174.665,198.841
2602,168.231,189.756
2603,161.638,179.227
2604,153.23,169.958
2605,147.243,166.487
2606,142.437,162.394
2607,137.478,164.989
2608,133.254,158.624
2609,130.215,152.686
2610,126.512,145.938
2611,121.024,138.608
2612,114.211,130.349
2613,107.794,122.957
