T	Q1	Q2	Q3
228	0.02	0.02	0.05
229	0.02	0.05	0.03
230	0.05	0.03	0.04
231	0.03	0.04	0.04
232	0.04	0.04	0.04
233	0.04	0.04	0.08
234	0.04	0.08	0.28
235	0.08	0.28	0.22
236	0.28	0.22	0.08
237	0.22	0.08	0.04
238	0.08	0.04	0.04
239	0.04	0.04	0.03
240	0.04	0.03	0.03
241	0.03	0.03	0.04
242	0.03	0.04	0.04
243	0.04	0.04	0.05
244	0.04	0.05	0.04
245	0.05	0.04	0.04
246	0.04	0.04	0.03
247	0.04	0.03	0.15
248	0.03	0.15	0.02
249	0.15	0.02	0.02
250	0.02	0.02	0.01
251	0.02	0.01	0.02
252	0.01	0.02	0.02
253	0.02	0.02	0.03
254	0.02	0.03	0.03
255	0.03	0.03	0.04
256	0.03	0.04	0.10
257	0.04	0.10	0.04
258	0.10	0.04	0.02
259	0.04	0.02	0.02
260	0.02	0.02	0.01
261	0.02	0.01	0.02
262	0.01	0.02	0.02
263	0.02	0.02	0.09
264	0.02	0.09	0.06
265	0.09	0.06	0.03
266	0.06	0.03	0.03
267	0.03	0.03	0.03
268	0.03	0.03	0.02
269	0.03	0.02	0.44
270	0.02	0.44	0.04
271	0.44	0.04	0.04
272	0.04	0.04	0.02
273	0.04	0.02	0.01
274	0.02	0.01	0.01
275	0.01	0.01	0.01
276	0.01	0.01	0.14
277	0.01	0.14	0.02
278	0.14	0.02	0.02
279	0.02	0.02	0.11
280	0.02	0.11	0.16
281	0.11	0.16	0.33
282	0.16	0.33	0.07
283	0.33	0.07	0.08
284	0.07	0.08	0.20
285	0.08	0.20	0.20
286	0.20	0.20	0.20
287	0.20	0.20	0.20
288	0.20	0.20	0.03
289	0.20	0.03	0.03
290	0.03	0.03	0.04
291	0.03	0.04	0.06
292	0.04	0.06	0.04
293	0.06	0.04	0.02
294	0.04	0.02	0.03
295	0.02	0.03	0.01
296	0.03	0.01	0.00
297	0.01	0.00	0.00
298	0.00	0.00	0.05
299	0.00	0.05	0.21
300	0.05	0.21	0.02
301	0.21	0.02	0.03
302	0.02	0.03	0.05
303	0.03	0.05	0.03
304	0.05	0.03	0.04
305	0.03	0.04	0.02
306	0.04	0.02	0.02
307	0.02	0.02	0.02
308	0.02	0.02	0.02
309	0.02	0.02	0.01
310	0.02	0.01	0.02
311	0.01	0.02	0.02
312	0.02	0.02	0.01
313	0.02	0.01	0.02
314	0.01	0.02	0.03
315	0.02	0.03	0.04
316	0.03	0.04	0.03
317	0.04	0.03	0.13
318	0.03	0.13	0.03
