N,0*Qc(i),1*Qc(i-1),2*Qc(i-2),3*Qc(i-3),4*Qc(i-4),5*Qk(i),6*Qk(i-1),7*Qk(i-2),8*Qk(i-3),9*Qk(i-4),10*Qk(i+1)
1408,23.959,25.408,27.504,29.836,32.918,45.221,50.157,54.177,59.018,65.566,41.78
1409,23.48,23.959,25.408,27.504,29.836,41.78,45.221,50.157,54.177,59.018,52.675
1410,28.406,23.48,23.959,25.408,27.504,52.675,41.78,45.221,50.157,54.177,49.956
1411,40.126,28.406,23.48,23.959,25.408,49.956,52.675,41.78,45.221,50.157,48.825
1412,32.228,40.126,28.406,23.48,23.959,48.825,49.956,52.675,41.78,45.221,46.287
1413,27.205,32.228,40.126,28.406,23.48,46.287,48.825,49.956,52.675,41.78,43.6
1414,25.909,27.205,32.228,40.126,28.406,43.6,46.287,48.825,49.956,52.675,38.495
1415,25.453,25.909,27.205,32.228,40.126,38.495,43.6,46.287,48.825,49.956,34.864
1416,25.684,25.453,25.909,27.205,32.228,34.864,38.495,43.6,46.287,48.825,36.974
1417,27.711,25.684,25.453,25.909,27.205,36.974,34.864,38.495,43.6,46.287,36.049
1418,36.838,27.711,25.684,25.453,25.909,36.049,36.974,34.864,38.495,43.6,36.756
1419,38.919,36.838,27.711,25.684,25.453,36.756,36.049,36.974,34.864,38.495,38.355
1420,32.809,38.919,36.838,27.711,25.684,38.355,36.756,36.049,36.974,34.864,41.701
1421,39.913,32.809,38.919,36.838,27.711,41.701,38.355,36.756,36.049,36.974,69.261
1422,92.542,39.913,32.809,38.919,36.838,69.261,41.701,38.355,36.756,36.049,358.671
1423,528.748,92.542,39.913,32.809,38.919,358.671,69.261,41.701,38.355,36.756,373.569
1424,735.799,528.748,92.542,39.913,32.809,373.569,358.671,69.261,41.701,38.355,269.085
1425,619.858,735.799,528.748,92.542,39.913,269.085,373.569,358.671,69.261,41.701,226.244
1426,456.443,619.858,735.799,528.748,92.542,226.244,269.085,373.569,358.671,69.261,195.837
1427,357.346,456.443,619.858,735.799,528.748,195.837,226.244,269.085,373.569,358.671,162.617
1428,276.712,357.346,456.443,619.858,735.799,162.617,195.837,226.244,269.085,373.569,134.842
1429,226.085,276.712,357.346,456.443,619.858,134.842,162.617,195.837,226.244,269.085,112.435
1430,187.415,226.085,276.712,357.346,456.443,112.435,134.842,162.617,195.837,226.244,94.596
1431,159.573,187.415,226.085,276.712,357.346,94.596,112.435,134.842,162.617,195.837,82.033
1432,147.156,159.573,187.415,226.085,276.712,82.033,94.596,112.435,134.842,162.617,103.321
1433,156.634,147.156,159.573,187.415,226.085,103.321,82.033,94.596,112.435,134.842,245.098
1434,303.065,156.634,147.156,159.573,187.415,245.098,103.321,82.033,94.596,112.435,188.098
1435,321.571,303.065,156.634,147.156,159.573,188.098,245.098,103.321,82.033,94.596,285.211
1436,577.721,321.571,303.065,156.634,147.156,285.211,188.098,245.098,103.321,82.033,219.799
1437,459.667,577.721,321.571,303.065,156.634,219.799,285.211,188.098,245.098,103.321,161.829
1438,353.632,459.667,577.721,321.571,303.065,161.829,219.799,285.211,188.098,245.098,121.955
1439,285.261,353.632,459.667,577.721,321.571,121.955,161.829,219.799,285.211,188.098,98.042
1440,236.397,285.261,353.632,459.667,577.721,98.042,121.955,161.829,219.799,285.211,86.573
1441,200.344,236.397,285.261,353.632,459.667,86.573,98.042,121.955,161.829,219.799,89.671
1442,205.534,200.344,236.397,285.261,353.632,89.671,86.573,98.042,121.955,161.829,100.38
1443,278.424,205.534,200.344,236.397,285.261,100.38,89.671,86.573,98.042,121.955,132.853
1444,231.062,278.424,205.534,200.344,236.397,132.853,100.38,89.671,86.573,98.042,101.838
1445,206.777,231.062,278.424,205.534,200.344,101.838,132.853,100.38,89.671,86.573,76.959
1446,197.046,206.777,231.062,278.424,205.534,76.959,101.838,132.853,100.38,89.671,65.461
1447,170.595,197.046,206.777,231.062,278.424,65.461,76.959,101.838,132.853,100.38,64.382
1448,148.045,170.595,197.046,206.777,231.062,64.382,65.461,76.959,101.838,132.853,68.87
1449,130.279,148.045,170.595,197.046,206.777,68.87,64.382,65.461,76.959,101.838,72.021
1450,115.607,130.279,148.045,170.595,197.046,72.021,68.87,64.382,65.461,76.959,75.384
1451,109.573,115.607,130.279,148.045,170.595,75.384,72.021,68.87,64.382,65.461,59.209
1452,103.797,109.573,115.607,130.279,148.045,59.209,75.384,72.021,68.87,64.382,53.767
1453,93.321,103.797,109.573,115.607,130.279,53.767,59.209,75.384,72.021,68.87,48.131
1454,83.924,93.321,103.797,109.573,115.607,48.131,53.767,59.209,75.384,72.021,42.85
1455,75.021,83.924,93.321,103.797,109.573,42.85,48.131,53.767,59.209,75.384,37.513
1456,65.631,75.021,83.924,93.321,103.797,37.513,42.85,48.131,53.767,59.209,34.801
1457,59.615,65.631,75.021,83.924,93.321,34.801,37.513,42.85,48.131,53.767,32.795
1458,61.426,59.615,65.631,75.021,83.924,32.795,34.801,37.513,42.85,48.131,30.953
1459,61.608,61.426,59.615,65.631,75.021,30.953,32.795,34.801,37.513,42.85,27.041
1460,55.532,61.608,61.426,59.615,65.631,27.041,30.953,32.795,34.801,37.513,25.565
1461,51.022,55.532,61.608,61.426,59.615,25.565,27.041,30.953,32.795,34.801,25.582
1462,47.778,51.022,55.532,61.608,61.426,25.582,25.565,27.041,30.953,32.795,22.772
1463,43.295,47.778,51.022,55.532,61.608,22.772,25.582,25.565,27.041,30.953,19.356
1464,38.395,43.295,47.778,51.022,55.532,19.356,22.772,25.582,25.565,27.041,15.92
1465,32.521,38.395,43.295,47.778,51.022,15.92,19.356,22.772,25.582,25.565,12.661
1466,28.447,32.521,38.395,43.295,47.778,12.661,15.92,19.356,22.772,25.582,11.151
1467,26.455,28.447,32.521,38.395,43.295,11.151,12.661,15.92,19.356,22.772,10.987
1468,26.826,26.455,28.447,32.521,38.395,10.987,11.151,12.661,15.92,19.356,8.982
1469,24.159,26.826,26.455,28.447,32.521,8.982,10.987,11.151,12.661,15.92,7.291
1470,21.367,24.159,26.826,26.455,28.447,7.291,8.982,10.987,11.151,12.661,5.784
1471,18.081,21.367,24.159,26.826,26.455,5.784,7.291,8.982,10.987,11.151,4.647
1472,14.968,18.081,21.367,24.159,26.826,4.647,5.784,7.291,8.982,10.987,4.048
1473,14.123,14.968,18.081,21.367,24.159,4.048,4.647,5.784,7.291,8.982,3.908
1474,18.639,14.123,14.968,18.081,21.367,3.908,4.048,4.647,5.784,7.291,4.36
1475,31.204,18.639,14.123,14.968,18.081,4.36,3.908,4.048,4.647,5.784,3.803
1476,41.05,31.204,18.639,14.123,14.968,3.803,4.36,3.908,4.048,4.647,3.33
1477,33.886,41.05,31.204,18.639,14.123,3.33,3.803,4.36,3.908,4.048,3.529
1478,30.277,33.886,41.05,31.204,18.639,3.529,3.33,3.803,4.36,3.908,4.499
1479,27.237,30.277,33.886,41.05,31.204,4.499,3.529,3.33,3.803,4.36,4.086
1480,25.327,27.237,30.277,33.886,41.05,4.086,4.499,3.529,3.33,3.803,3.671
1481,22.644,25.327,27.237,30.277,33.886,3.671,4.086,4.499,3.529,3.33,3.306
1482,18.75,22.644,25.327,27.237,30.277,3.306,3.671,4.086,4.499,3.529,4.418
1483,15.93,18.75,22.644,25.327,27.237,4.418,3.306,3.671,4.086,4.499,5.322
1484,14.289,15.93,18.75,22.644,25.327,5.322,4.418,3.306,3.671,4.086,8.844
1485,14.474,14.289,15.93,18.75,22.644,8.844,5.322,4.418,3.306,3.671,7.829
1486,17.468,14.474,14.289,15.93,18.75,7.829,8.844,5.322,4.418,3.306,6.299
1487,20.615,17.468,14.474,14.289,15.93,6.299,7.829,8.844,5.322,4.418,4.897
1488,24.921,20.615,17.468,14.474,14.289,4.897,6.299,7.829,8.844,5.322,4.588
1489,22.469,24.921,20.615,17.468,14.474,4.588,4.897,6.299,7.829,8.844,4.589
1490,17.341,22.469,24.921,20.615,17.468,4.589,4.588,4.897,6.299,7.829,3.606
1491,12.985,17.341,22.469,24.921,20.615,3.606,4.589,4.588,4.897,6.299,2.852
1492,10.286,12.985,17.341,22.469,24.921,2.852,3.606,4.589,4.588,4.897,2.552
1493,8.339,10.286,12.985,17.341,22.469,2.552,2.852,3.606,4.589,4.588,2.699
1494,7.034,8.339,10.286,12.985,17.341,2.699,2.552,2.852,3.606,4.589,3.046
1495,6.316,7.034,8.339,10.286,12.985,3.046,2.699,2.552,2.852,3.606,2.822
1496,5.674,6.316,7.034,8.339,10.286,2.822,3.046,2.699,2.552,2.852,2.452
1497,4.947,5.674,6.316,7.034,8.339,2.452,2.822,3.046,2.699,2.552,1.962
1498,4.452,4.947,5.674,6.316,7.034,1.962,2.452,2.822,3.046,2.699,1.664
1499,5.235,4.452,4.947,5.674,6.316,1.664,1.962,2.452,2.822,3.046,1.448
1500,4.668,5.235,4.452,4.947,5.674,1.448,1.664,1.962,2.452,2.822,1.443
1501,4.268,4.668,5.235,4.452,4.947,1.443,1.448,1.664,1.962,2.452,1.238
1502,4.103,4.268,4.668,5.235,4.452,1.238,1.443,1.448,1.664,1.962,1.172
1503,3.677,4.103,4.268,4.668,5.235,1.172,1.238,1.443,1.448,1.664,4.127
1504,6.753,3.677,4.103,4.268,4.668,4.127,1.172,1.238,1.443,1.448,5.121
1505,6.518,6.753,3.677,4.103,4.268,5.121,4.127,1.172,1.238,1.443,2.966
1506,18.697,6.518,6.753,3.677,4.103,2.966,5.121,4.127,1.172,1.238,2.258
1507,17.549,18.697,6.518,6.753,3.677,2.258,2.966,5.121,4.127,1.172,2.255
1508,16.742,17.549,18.697,6.518,6.753,2.255,2.258,2.966,5.121,4.127,3.935
1509,13.574,16.742,17.549,18.697,6.518,3.935,2.255,2.258,2.966,5.121,3.432
1510,10.22,13.574,16.742,17.549,18.697,3.432,3.935,2.255,2.258,2.966,2.806
1511,8.622,10.22,13.574,16.742,17.549,2.806,3.432,3.935,2.255,2.258,2.374
1512,7.268,8.622,10.22,13.574,16.742,2.374,2.806,3.432,3.935,2.255,1.859
1513,5.891,7.268,8.622,10.22,13.574,1.859,2.374,2.806,3.432,3.935,1.522
1514,5.572,5.891,7.268,8.622,10.22,1.522,1.859,2.374,2.806,3.432,1.604
1515,6.169,5.572,5.891,7.268,8.622,1.604,1.522,1.859,2.374,2.806,3.628
1516,10.747,6.169,5.572,5.891,7.268,3.628,1.604,1.522,1.859,2.374,83.134
1517,159.829,10.747,6.169,5.572,5.891,83.134,3.628,1.604,1.522,1.859,152.435
1518,485.506,159.829,10.747,6.169,5.572,152.435,83.134,3.628,1.604,1.522,167.886
1519,313.859,485.506,159.829,10.747,6.169,167.886,152.435,83.134,3.628,1.604,136.004
1520,167.355,313.859,485.506,159.829,10.747,136.004,167.886,152.435,83.134,3.628,87.962
1521,104.602,167.355,313.859,485.506,159.829,87.962,136.004,167.886,152.435,83.134,56.241
1522,71.398,104.602,167.355,313.859,485.506,56.241,87.962,136.004,167.886,152.435,38.854
1523,55.314,71.398,104.602,167.355,313.859,38.854,56.241,87.962,136.004,167.886,31.041
1524,54.381,55.314,71.398,104.602,167.355,31.041,38.854,56.241,87.962,136.004,25.529
1525,47.864,54.381,55.314,71.398,104.602,25.529,31.041,38.854,56.241,87.962,21.869
1526,42.321,47.864,54.381,55.314,71.398,21.869,25.529,31.041,38.854,56.241,22.959
1527,44.468,42.321,47.864,54.381,55.314,22.959,21.869,25.529,31.041,38.854,32.874
1528,72.268,44.468,42.321,47.864,54.381,32.874,22.959,21.869,25.529,31.041,100.734
1529,101.449,72.268,44.468,42.321,47.864,100.734,32.874,22.959,21.869,25.529,109.122
1530,83.456,101.449,72.268,44.468,42.321,109.122,100.734,32.874,22.959,21.869,82.587
1531,63.687,83.456,101.449,72.268,44.468,82.587,109.122,100.734,32.874,22.959,66.173
1532,53.966,63.687,83.456,101.449,72.268,66.173,82.587,109.122,100.734,32.874,55.078
1533,50.348,53.966,63.687,83.456,101.449,55.078,66.173,82.587,109.122,100.734,56.112
1534,50.521,50.348,53.966,63.687,83.456,56.112,55.078,66.173,82.587,109.122,51.608
1535,48.78,50.521,50.348,53.966,63.687,51.608,56.112,55.078,66.173,82.587,48.394
1536,43.748,48.78,50.521,50.348,53.966,48.394,51.608,56.112,55.078,66.173,44.76
1537,40.493,43.748,48.78,50.521,50.348,44.76,48.394,51.608,56.112,55.078,37.86
1538,36.665,40.493,43.748,48.78,50.521,37.86,44.76,48.394,51.608,56.112,33.021
1539,31.935,36.665,40.493,43.748,48.78,33.021,37.86,44.76,48.394,51.608,29.075
1540,28.867,31.935,36.665,40.493,43.748,29.075,33.021,37.86,44.76,48.394,25.915
1541,26.16,28.867,31.935,36.665,40.493,25.915,29.075,33.021,37.86,44.76,23.995
1542,24.916,26.16,28.867,31.935,36.665,23.995,25.915,29.075,33.021,37.86,24.229
1543,29.576,24.916,26.16,28.867,31.935,24.229,23.995,25.915,29.075,33.021,27.664
1544,33.136,29.576,24.916,26.16,28.867,27.664,24.229,23.995,25.915,29.075,25.265
1545,27.382,33.136,29.576,24.916,26.16,25.265,27.664,24.229,23.995,25.915,22.087
1546,24.219,27.382,33.136,29.576,24.916,22.087,25.265,27.664,24.229,23.995,21.49
1547,21.645,24.219,27.382,33.136,29.576,21.49,22.087,25.265,27.664,24.229,19.306
1548,19.556,21.645,24.219,27.382,33.136,19.306,21.49,22.087,25.265,27.664,16.048
1549,17.584,19.556,21.645,24.219,27.382,16.048,19.306,21.49,22.087,25.265,13.233
1550,16.444,17.584,19.556,21.645,24.219,13.233,16.048,19.306,21.49,22.087,11.321
1551,15.622,16.444,17.584,19.556,21.645,11.321,13.233,16.048,19.306,21.49,9.699
1552,14.149,15.622,16.444,17.584,19.556,9.699,11.321,13.233,16.048,19.306,8.761
1553,12.839,14.149,15.622,16.444,17.584,8.761,9.699,11.321,13.233,16.048,7.404
1554,11.488,12.839,14.149,15.622,16.444,7.404,8.761,9.699,11.321,13.233,6.975
1555,11.531,11.488,12.839,14.149,15.622,6.975,7.404,8.761,9.699,11.321,13.398
1556,64.96,11.531,11.488,12.839,14.149,13.398,6.975,7.404,8.761,9.699,83.136
1557,109.691,64.96,11.531,11.488,12.839,83.136,13.398,6.975,7.404,8.761,239.806
1558,183.041,109.691,64.96,11.531,11.488,239.806,83.136,13.398,6.975,7.404,139.534
1559,140.37,183.041,109.691,64.96,11.531,139.534,239.806,83.136,13.398,6.975,100.852
1560,104.269,140.37,183.041,109.691,64.96,100.852,139.534,239.806,83.136,13.398,79.027
1561,79.947,104.269,140.37,183.041,109.691,79.027,100.852,139.534,239.806,83.136,59.625
1562,66.402,79.947,104.269,140.37,183.041,59.625,79.027,100.852,139.534,239.806,48.572
1563,58.257,66.402,79.947,104.269,140.37,48.572,59.625,79.027,100.852,139.534,40.52
1564,51.128,58.257,66.402,79.947,104.269,40.52,48.572,59.625,79.027,100.852,35.485
1565,45.948,51.128,58.257,66.402,79.947,35.485,40.52,48.572,59.625,79.027,32.513
1566,43.513,45.948,51.128,58.257,66.402,32.513,35.485,40.52,48.572,59.625,30.211
1567,40.857,43.513,45.948,51.128,58.257,30.211,32.513,35.485,40.52,48.572,27.701
1568,38.329,40.857,43.513,45.948,51.128,27.701,30.211,32.513,35.485,40.52,25.355
1569,34.644,38.329,40.857,43.513,45.948,25.355,27.701,30.211,32.513,35.485,22.531
1570,30.711,34.644,38.329,40.857,43.513,22.531,25.355,27.701,30.211,32.513,19.738
1571,28.829,30.711,34.644,38.329,40.857,19.738,22.531,25.355,27.701,30.211,17.845
1572,27.598,28.829,30.711,34.644,38.329,17.845,19.738,22.531,25.355,27.701,16.38
1573,26.741,27.598,28.829,30.711,34.644,16.38,17.845,19.738,22.531,25.355,14.676
1574,26.532,26.741,27.598,28.829,30.711,14.676,16.38,17.845,19.738,22.531,12.898
1575,25.094,26.532,26.741,27.598,28.829,12.898,14.676,16.38,17.845,19.738,11.321
1576,23.02,25.094,26.532,26.741,27.598,11.321,12.898,14.676,16.38,17.845,9.836
1577,21.328,23.02,25.094,26.532,26.741,9.836,11.321,12.898,14.676,16.38,8.802
1578,20.236,21.328,23.02,25.094,26.532,8.802,9.836,11.321,12.898,14.676,8.434
1579,19.888,20.236,21.328,23.02,25.094,8.434,8.802,9.836,11.321,12.898,8.334
1580,20.655,19.888,20.236,21.328,23.02,8.334,8.434,8.802,9.836,11.321,8.862
1581,25.239,20.655,19.888,20.236,21.328,8.862,8.334,8.434,8.802,9.836,9.214
1582,30.136,25.239,20.655,19.888,20.236,9.214,8.862,8.334,8.434,8.802,11.592
1583,27.441,30.136,25.239,20.655,19.888,11.592,9.214,8.862,8.334,8.434,9.625
1584,24.853,27.441,30.136,25.239,20.655,9.625,11.592,9.214,8.862,8.334,8.247
1585,21.046,24.853,27.441,30.136,25.239,8.247,9.625,11.592,9.214,8.862,7.502
1586,19.59,21.046,24.853,27.441,30.136,7.502,8.247,9.625,11.592,9.214,8.003
1587,18.135,19.59,21.046,24.853,27.441,8.003,7.502,8.247,9.625,11.592,8.637
1588,17.195,18.135,19.59,21.046,24.853,8.637,8.003,7.502,8.247,9.625,7.98
1589,17.327,17.195,18.135,19.59,21.046,7.98,8.637,8.003,7.502,8.247,7.449
1590,17.221,17.327,17.195,18.135,19.59,7.449,7.98,8.637,8.003,7.502,7.299
1591,17.867,17.221,17.327,17.195,18.135,7.299,7.449,7.98,8.637,8.003,7.035
1592,17.482,17.867,17.221,17.327,17.195,7.035,7.299,7.449,7.98,8.637,6.66
1593,17.363,17.482,17.867,17.221,17.327,6.66,7.035,7.299,7.449,7.98,6.306
1594,16.664,17.363,17.482,17.867,17.221,6.306,6.66,7.035,7.299,7.449,5.961
1595,15.405,16.664,17.363,17.482,17.867,5.961,6.306,6.66,7.035,7.299,5.672
1596,14.26,15.405,16.664,17.363,17.482,5.672,5.961,6.306,6.66,7.035,5.387
1597,13.84,14.26,15.405,16.664,17.363,5.387,5.672,5.961,6.306,6.66,5.13
1598,13.243,13.84,14.26,15.405,16.664,5.13,5.387,5.672,5.961,6.306,4.91
1599,12.305,13.243,13.84,14.26,15.405,4.91,5.13,5.387,5.672,5.961,4.819
1600,12.302,12.305,13.243,13.84,14.26,4.819,4.91,5.13,5.387,5.672,4.632
1601,12.103,12.302,12.305,13.243,13.84,4.632,4.819,4.91,5.13,5.387,4.417
1602,11.795,12.103,12.302,12.305,13.243,4.417,4.632,4.819,4.91,5.13,4.267
1603,11.482,11.795,12.103,12.302,12.305,4.267,4.417,4.632,4.819,4.91,4.191
1604,11.721,11.482,11.795,12.103,12.302,4.191,4.267,4.417,4.632,4.819,4.104
1605,11.81,11.721,11.482,11.795,12.103,4.104,4.191,4.267,4.417,4.632,4.107
1606,12.065,11.81,11.721,11.482,11.795,4.107,4.104,4.191,4.267,4.417,4.441
1607,14.473,12.065,11.81,11.721,11.482,4.441,4.107,4.104,4.191,4.267,5.446
1608,20.923,14.473,12.065,11.81,11.721,5.446,4.441,4.107,4.104,4.191,5.363
1609,26.87,20.923,14.473,12.065,11.81,5.363,5.446,4.441,4.107,4.104,5.032
1610,26.745,26.87,20.923,14.473,12.065,5.032,5.363,5.446,4.441,4.107,5.217
1611,26.131,26.745,26.87,20.923,14.473,5.217,5.032,5.363,5.446,4.441,5.234
1612,25.23,26.131,26.745,26.87,20.923,5.234,5.217,5.032,5.363,5.446,4.778
1613,23.408,25.23,26.131,26.745,26.87,4.778,5.234,5.217,5.032,5.363,4.515
1614,25.533,23.408,25.23,26.131,26.745,4.515,4.778,5.234,5.217,5.032,4.398
1615,24.654,25.533,23.408,25.23,26.131,4.398,4.515,4.778,5.234,5.217,5.38
1616,22.911,24.654,25.533,23.408,25.23,5.38,4.398,4.515,4.778,5.234,6.007
1617,21.3,22.911,24.654,25.533,23.408,6.007,5.38,4.398,4.515,4.778,5.686
1618,20.134,21.3,22.911,24.654,25.533,5.686,6.007,5.38,4.398,4.515,5.401
1619,19.194,20.134,21.3,22.911,24.654,5.401,5.686,6.007,5.38,4.398,5.084
1620,18.591,19.194,20.134,21.3,22.911,5.084,5.401,5.686,6.007,5.38,4.892
1621,18.22,18.591,19.194,20.134,21.3,4.892,5.084,5.401,5.686,6.007,4.917
1622,17.78,18.22,18.591,19.194,20.134,4.917,4.892,5.084,5.401,5.686,4.999
1623,17.484,17.78,18.22,18.591,19.194,4.999,4.917,4.892,5.084,5.401,5.302
1624,19.269,17.484,17.78,18.22,18.591,5.302,4.999,4.917,4.892,5.084,5.429
1625,18.623,19.269,17.484,17.78,18.22,5.429,5.302,4.999,4.917,4.892,5.502
1626,18.503,18.623,19.269,17.484,17.78,5.502,5.429,5.302,4.999,4.917,5.397
1627,17.897,18.503,18.623,19.269,17.484,5.397,5.502,5.429,5.302,4.999,4.939
1628,16.277,17.897,18.503,18.623,19.269,4.939,5.397,5.502,5.429,5.302,4.82
1629,15.537,16.277,17.897,18.503,18.623,4.82,4.939,5.397,5.502,5.429,4.696
1630,14.97,15.537,16.277,17.897,18.503,4.696,4.82,4.939,5.397,5.502,4.503
1631,14.466,14.97,15.537,16.277,17.897,4.503,4.696,4.82,4.939,5.397,4.375
1632,14.867,14.466,14.97,15.537,16.277,4.375,4.503,4.696,4.82,4.939,4.332
1633,16.207,14.867,14.466,14.97,15.537,4.332,4.375,4.503,4.696,4.82,4.389
1634,20.501,16.207,14.867,14.466,14.97,4.389,4.332,4.375,4.503,4.696,4.505
1635,23.832,20.501,16.207,14.867,14.466,4.505,4.389,4.332,4.375,4.503,6.006
1636,21.614,23.832,20.501,16.207,14.867,6.006,4.505,4.389,4.332,4.375,8.58
1637,20.852,21.614,23.832,20.501,16.207,8.58,6.006,4.505,4.389,4.332,17.811
1638,20.156,20.852,21.614,23.832,20.501,17.811,8.58,6.006,4.505,4.389,14.305
1639,18.452,20.156,20.852,21.614,23.832,14.305,17.811,8.58,6.006,4.505,11.29
1640,17.114,18.452,20.156,20.852,21.614,11.29,14.305,17.811,8.58,6.006,9.903
1641,17.717,17.114,18.452,20.156,20.852,9.903,11.29,14.305,17.811,8.58,8.711
1642,17.875,17.717,17.114,18.452,20.156,8.711,9.903,11.29,14.305,17.811,7.787
1643,16.391,17.875,17.717,17.114,18.452,7.787,8.711,9.903,11.29,14.305,6.921
1644,14.996,16.391,17.875,17.717,17.114,6.921,7.787,8.711,9.903,11.29,6.424
1645,14.247,14.996,16.391,17.875,17.717,6.424,6.921,7.787,8.711,9.903,6.085
1646,13.647,14.247,14.996,16.391,17.875,6.085,6.424,6.921,7.787,8.711,5.73
1647,13.53,13.647,14.247,14.996,16.391,5.73,6.085,6.424,6.921,7.787,5.382
1648,12.949,13.53,13.647,14.247,14.996,5.382,5.73,6.085,6.424,6.921,5.054
1649,12.642,12.949,13.53,13.647,14.247,5.054,5.382,5.73,6.085,6.424,4.885
1650,11.832,12.642,12.949,13.53,13.647,4.885,5.054,5.382,5.73,6.085,4.659
1651,11.347,11.832,12.642,12.949,13.53,4.659,4.885,5.054,5.382,5.73,4.445
1652,11.348,11.347,11.832,12.642,12.949,4.445,4.659,4.885,5.054,5.382,4.356
1653,12.06,11.348,11.347,11.832,12.642,4.356,4.445,4.659,4.885,5.054,4.932
1668,17.28,17.146,17.191,17.739,17.987,7.279,7.356,7.461,7.615,7.95,7.61
1669,18.431,17.28,17.146,17.191,17.739,7.61,7.279,7.356,7.461,7.615,8.018
1670,24.268,18.431,17.28,17.146,17.191,8.018,7.61,7.279,7.356,7.461,7.981
1671,27.589,24.268,18.431,17.28,17.146,7.981,8.018,7.61,7.279,7.356,8.992
1672,28.097,27.589,24.268,18.431,17.28,8.992,7.981,8.018,7.61,7.279,22.147
1673,26.891,28.097,27.589,24.268,18.431,22.147,8.992,7.981,8.018,7.61,22.228
1674,25.956,26.891,28.097,27.589,24.268,22.228,22.147,8.992,7.981,8.018,19.38
1675,27.606,25.956,26.891,28.097,27.589,19.38,22.228,22.147,8.992,7.981,16.674
1676,26.606,27.606,25.956,26.891,28.097,16.674,19.38,22.228,22.147,8.992,14.455
1711,35.855,36.683,37.17,33.119,34.972,35.213,37.99,44.727,55.318,27.519,31.069
1712,33.776,35.855,36.683,37.17,33.119,31.069,35.213,37.99,44.727,55.318,31.798
1713,37.921,33.776,35.855,36.683,37.17,31.798,31.069,35.213,37.99,44.727,32.812
1714,55.794,37.921,33.776,35.855,36.683,32.812,31.798,31.069,35.213,37.99,122.136
1715,57.62,55.794,37.921,33.776,35.855,122.136,32.812,31.798,31.069,35.213,114.154
1716,49.326,57.62,55.794,37.921,33.776,114.154,122.136,32.812,31.798,31.069,92.007
1717,44.948,49.326,57.62,55.794,37.921,92.007,114.154,122.136,32.812,31.798,75.966
1718,41.031,44.948,49.326,57.62,55.794,75.966,92.007,114.154,122.136,32.812,67.727
1719,39.565,41.031,44.948,49.326,57.62,67.727,75.966,92.007,114.154,122.136,65.243
1720,36.274,39.565,41.031,44.948,49.326,65.243,67.727,75.966,92.007,114.154,57.534
1721,31.944,36.274,39.565,41.031,44.948,57.534,65.243,67.727,75.966,92.007,49.906
1722,28.318,31.944,36.274,39.565,41.031,49.906,57.534,65.243,67.727,75.966,44.651
1723,25.686,28.318,31.944,36.274,39.565,44.651,49.906,57.534,65.243,67.727,41.233
1724,24.722,25.686,28.318,31.944,36.274,41.233,44.651,49.906,57.534,65.243,44.55
1725,25.006,24.722,25.686,28.318,31.944,44.55,41.233,44.651,49.906,57.534,38.387
1726,21.41,25.006,24.722,25.686,28.318,38.387,44.55,41.233,44.651,49.906,32.471
1727,19.719,21.41,25.006,24.722,25.686,32.471,38.387,44.55,41.233,44.651,30.181
1728,18.076,19.719,21.41,25.006,24.722,30.181,32.471,38.387,44.55,41.233,28.19
1729,16.155,18.076,19.719,21.41,25.006,28.19,30.181,32.471,38.387,44.55,25.739
1730,14.6,16.155,18.076,19.719,21.41,25.739,28.19,30.181,32.471,38.387,23.777
1731,13.017,14.6,16.155,18.076,19.719,23.777,25.739,28.19,30.181,32.471,21.913
1732,11.931,13.017,14.6,16.155,18.076,21.913,23.777,25.739,28.19,30.181,20.758
1733,11.255,11.931,13.017,14.6,16.155,20.758,21.913,23.777,25.739,28.19,19.737
1734,11.476,11.255,11.931,13.017,14.6,19.737,20.758,21.913,23.777,25.739,21.814
1735,12.734,11.476,11.255,11.931,13.017,21.814,19.737,20.758,21.913,23.777,77.783
1736,73.071,12.734,11.476,11.255,11.931,77.783,21.814,19.737,20.758,21.913,239.313
1737,425.984,73.071,12.734,11.476,11.255,239.313,77.783,21.814,19.737,20.758,304.828
1738,217.739,425.984,73.071,12.734,11.476,304.828,239.313,77.783,21.814,19.737,192.751
1739,190.029,217.739,425.984,73.071,12.734,192.751,304.828,239.313,77.783,21.814,139.851
1740,146.331,190.029,217.739,425.984,73.071,139.851,192.751,304.828,239.313,77.783,113.677
1741,105.085,146.331,190.029,217.739,425.984,113.677,139.851,192.751,304.828,239.313,92.938
1742,80.929,105.085,146.331,190.029,217.739,92.938,113.677,139.851,192.751,304.828,75.089
1743,65.608,80.929,105.085,146.331,190.029,75.089,92.938,113.677,139.851,192.751,62.584
1744,55.77,65.608,80.929,105.085,146.331,62.584,75.089,92.938,113.677,139.851,54.406
1745,48.741,55.77,65.608,80.929,105.085,54.406,62.584,75.089,92.938,113.677,47.922
1746,44.31,48.741,55.77,65.608,80.929,47.922,54.406,62.584,75.089,92.938,42.5
1747,40.6,44.31,48.741,55.77,65.608,42.5,47.922,54.406,62.584,75.089,37.441
1748,36.598,40.6,44.31,48.741,55.77,37.441,42.5,47.922,54.406,62.584,32.729
1749,32.094,36.598,40.6,44.31,48.741,32.729,37.441,42.5,47.922,54.406,30.088
1750,27.739,32.094,36.598,40.6,44.31,30.088,32.729,37.441,42.5,47.922,26.346
