Forage (année 2011) ;CE (μs/cm) ;T (°C);Ca++ (mg/l);Mg++ (mg/l);K+ (mg/l);NA+ (mg/l);HCO3- (mg/l);Cl- (mg/l)
6;715.59;21;54.01;36.29;4;58;180.56;84.95
7;764.28;20.8;49;24.12;11;92;200.21;70.91
8;1046.87;20.7;116.072;56.033;5.07;56.74;288.53;127.645
9;685.35;19.4;72.43;21.53;5.85;39.47;231.19;45.7
10;1374.45;20.6;96.35;45.88;7.75;166.54;183;154.59
11;1774.02;19.6;89;34.81;14.5;302.5;205.57;309.18
12;713.19;20.9;66.212;27.919;4.79;39.29;231.8;60.986
13;800.74;19;89.86;15.18;6.46;83.29;234.2;140.41
14;1342.4;19.2;122.645;47.181;6.001;102.04;298.9;141.544
15;797.58;21;84;30;5;40;293;52
16;495.12;20.8;18.116;7.199;5.6;95.11;72.59;142.963
17;420.84;20.7;15.711;7.685;5.23;74.87;59.597;112.044
1;1024.21;19.8;98.998;33.562;4.013;73.86;295.24;76.233
2;1124.74;20.2;100.601;36.48;4.068;100.4;265.35;96.266
3;1029.6;20.8;164.98;44.49;19.45;48.5;170.8;142.64
4;919.68;20.7;95.39;33.075;3.462;48.52;326.716;60.454
5;1019.5;19.4;104.609;35.021;3.749;64.18;304.39;78.892
6;1124.95;20.6;106.94;28.8;10;88.5;342.21;68.07
7;773.19;19.6;74.228;26.266;4.75;49.72;247.05;69.496
8;1148.57;19.5;128.256;39.301;6.42;64.41;250.1;151.756
9;502.59;19;41.34;17.12;5.8;39;151.89;66.09
10;1288.05;19.2;102.605;39.885;7.7;147.9;183;143.955
11;1501.07;21;79.954;28.698;5.29;252.2;195.2;177.285
12;711.24;20.8;70.06;24.806;5.69;42.62;219.6;56.731
13;1322.81;20.7;145.09;46.208;8.53;107.8;268.4;262.382
14;1139.29;19.4;92.986;33.075;6.75;106.9;269.01;130.482
15;760.67;20.6;68;38;6;45;269;63
16;1155.28;19.6;114.468;39.496;7.14;91.29;268.4;102.542
17;1103.39;19.9;102.925;35.313;6.19;79.05;268.4;85.097
1;1103.43;19;94.01;34.72;3.04;84.21;301.2;79.11
2;1103.43;19.2;101.03;36.75;3.64;97.78;277;62
3;929.41;19.8;177.29;37.59;20.3;48;169.58;186.32
4;936.19;20.8;100.52;34.56;2.8;49.64;374.07;53.55
5;985.53;20.7;78.47;36.05;3.08;71.19;308.58;70.47
6;962.02;19.4;104.2;33.66;3.52;52.85;308.66;61.84
7;754.52;20.6;78.557;25.293;5.46;53.14;207.4;69.496
8;942.38;19.6;97.795;35.215;5.871;61.26;244;120.696
9;925.4;21.3;61.91;28.94;21.5;100.5;238.51;146.08
10;1372.05;19.4;97.314;40.177;7.74;175.1;183;157.429
11;1501.068;20.6;76.954;28.698;5.29;152.2;195.2;177.285
12;744.79;19.6;82.885;16.829;5.4;49.59;221.43;63.823
13;1205.14;21;110.621;41.052;7.96;102.3;277.245;199.977
14;1287.65;19.8;125.05;29.184;6.45;105;269.62;130.482
15;748.8;21.2;66;31;7;43;232;60
16;1220.02;20.8;123.927;32.492;6.68;102.4;276.94;100.698
17;1098.44;20.7;106.452;32.686;6.103;84.99;270.84;89.352
1;1103.43;19.4;104;49;4;67;284;85
2;1103.43;20.6;126;47;4;46;342;62
3;851.16;19.6;86.73;32.97;3.31;48.23;292.8;53.61
4;1103.43;19.3;126;47;4;46;342;62
5;1244.49;19.4;100;11;4;170;342;74
6;981.12;20.6;107.04;35;5.72;54.9;323.3;63.47
7;769.78;19.6;78.076;23.25;5.193;55.91;207.4;76.587
8;1029.69;19.9;114.428;38.912;5.817;56.56;248.27;132.077
9;697.79;19.8;67.495;26.655;4.89;35;262.91;56.731
10;1308.76;21;108.817;40.493;6.808;141.2;186.66;143.778
11;1694.23;20.8;174.548;59.827;8.7;113.6;382.165;211.324
12;761.35;20.7;70.34;25.171;5.673;43.04;217.16;56.731
13;1448.99;19;135.486;42.464;8.137;119.7;283.04;294.293
14;1264.29;19.2;121.442;43.776;6.222;103.7;271.45;132.432
15;1298.54;21;125;44;7;109;281;137
16;1175.72;20.8;113.627;39.034;6.571;91.77;276.025;99.811
17;1054.49;20.7;101.002;35.507;6.132;78.71;272.365;86.161
